index,X,Y,Z,formation
0,541358.46061301,7476431.07075229,450.0,Rocklea_Inlier_metagranitic_unit
1,540971.02066699,7476877.07989872,449.0,Rocklea_Inlier_metagranitic_unit
2,539598.27840591,7477765.57024949,500.0,Rocklea_Inlier_metagranitic_unit
3,538346.57870325,7478761.55831537,437.0,Rocklea_Inlier_metagranitic_unit
4,536413.60194539,7479358.50150807,420.0,Rocklea_Inlier_metagranitic_unit
5,535973.35935345,7478417.47064393,420.0,Rocklea_Inlier_metagranitic_unit
6,537576.41909701,7478477.02245801,437.0,Rocklea_Inlier_metagranitic_unit
7,538745.52027745,7477462.02832475,451.0,Rocklea_Inlier_metagranitic_unit
8,537110.54042016,7477389.97284968,428.0,Rocklea_Inlier_metagranitic_unit
9,536428.58983392,7476462.40820376,419.0,Rocklea_Inlier_metagranitic_unit
10,536610.95903758,7474972.85881716,439.0,Rocklea_Inlier_metagranitic_unit
11,537437.90754403,7474983.37874796,438.0,Rocklea_Inlier_metagranitic_unit
12,537960.66886067,7475758.44080556,439.0,Rocklea_Inlier_metagranitic_unit
13,539061.57196156,7476092.99021689,452.0,Rocklea_Inlier_metagranitic_unit
14,540855.7583959,7476343.07302141,445.0,Rocklea_Inlier_metagranitic_unit
15,541224.68949075,7476335.55921922,451.0,Rocklea_Inlier_metagranitic_unit
16,524538.24941781,7479935.452063701,383.0,Rocklea_Inlier_metagranitic_unit
17,545347.46956297,7477512.16031512,470.0,Rocklea_Inlier_metagranitic_unit
18,544772.07962524,7476878.63793383,470.0,Rocklea_Inlier_metagranitic_unit
19,544868.47112778,7474421.60093993,448.0,Rocklea_Inlier_metagranitic_unit
20,544918.29034758,7474204.59148378,446.0,Rocklea_Inlier_metagranitic_unit
21,524814.0913751485,7473446.765934077,404.0,Rocklea_Inlier_metagranitic_unit
22,523881.70982023,7475617.39919385,394.0,Rocklea_Inlier_metagranitic_unit
23,523880.4596507,7478016.93056708,381.0,Rocklea_Inlier_metagranitic_unit
24,524274.52800415,7479306.94064317,382.0,Rocklea_Inlier_metagranitic_unit
25,544486.60044895,7477014.13912995,456.0,Rocklea_Inlier_metagranitic_unit
26,544398.1812338,7477135.63909908,453.0,Rocklea_Inlier_metagranitic_unit
27,544137.38020216,7477130.63048583,456.0,Rocklea_Inlier_metagranitic_unit
28,524662.73130987,7480154.44913802,384.0,Rocklea_Inlier_metagranitic_unit
29,529827.91051599,7480963.48990523,411.0,Rocklea_Inlier_metagranitic_unit
30,537775.93181324,7480703.57045698,444.0,Rocklea_Inlier_metagranitic_unit
31,538468.26221117,7480515.58826357,438.0,Rocklea_Inlier_metagranitic_unit
32,540899.98049524,7481030.66038642,463.0,Rocklea_Inlier_metagranitic_unit
33,543539.54005779,7479775.17871059,472.0,Rocklea_Inlier_metagranitic_unit
34,544323.51875315,7479210.68079693,467.0,Rocklea_Inlier_metagranitic_unit
35,544003.99001284,7477163.14045784,456.0,Rocklea_Inlier_metagranitic_unit
36,542990.09090526,7477900.64864228,465.0,Rocklea_Inlier_metagranitic_unit
37,541687.39900039,7478111.15142602,471.0,Rocklea_Inlier_metagranitic_unit
38,542769.0408119999,7476908.60916732,469.0,Rocklea_Inlier_metagranitic_unit
39,543275.31147864,7476384.10886607,459.0,Rocklea_Inlier_metagranitic_unit
