X,Y,Z,DipDirection,dip,DipPolarity,formation
538468.26221117,7480515.58826357,384.,4.4277533573220165,90,1,Fault_7436
542571.51239981,7488831.16066893,638.,22.135336122569043,90,1,Fault_7439
520689.08119362,7490139.43572196,412.,54.71580041869653,90,1,Fault_2235
520542.46265294,7514160.96857664,568.,48.887019958523695,90,1,Fault_2248
517453.48725954,7497683.89853831,525.,59.329486575361734,90,1,Fault_2843
541963.19163038,7493283.13978594,654.,39.104864742265704,90,1,Fault_2997
526241.48968922,7494361.51259949,431.,55.701468332421726,90,1,Fault_3496
532914.74969844,7501129.60123437,607.,53.457483213438536,90,1,Fault_3498
543048.60760173,7490190.6702777,604.,52.150967032987964,90,1,Fault_5993
520303.71612472,7485450.93468321,573.,49.55815569578525,90,1,Fault_7099
518845.53649929,7485045.40687333,449.,36.701738960129944,90,1,Fault_10762
526718.59949805,7491736.49932416,546.,56.97129327251198,90,1,Fault_12647
548948.53390282,7507152.60603048,619.,66.11421618351599,90,1,Fault_12658
517746.86032914,7509496.4685744,562.,7.1856784175837065,90,1,Fault_12660
518524.9442624,7500500.44191141,502.,61.338622843834386,90,1,Fault_14378
519646.4217734,7512962.96949212,567.,13.373732696191041,90,1,Fault_16769
