X,Y,Z,formation
524662.73130987,7480154.44913802,384.,Fault_7436
525046.50120046,7480304.95969632,387.,Fault_7436
525590.13885675,7480549.45773494,389.,Fault_7436
526736.96184937,7480922.95966262,388.,Fault_7436
529856.88747434,7481720.47954789,426.,Fault_7436
529827.91051599,7480963.48990523,411.,Fault_7436
531488.10806683,7481043.48909377,438.,Fault_7436
533085.26996099,7481251.00100287,438.,Fault_7436
534592.61076391,7481281.00779135,428.,Fault_7436
536441.71919303,7480978.03134904,444.,Fault_7436
537775.93181324,7480703.57045699,444.,Fault_7436
538468.26221117,7480515.58826357,438.,Fault_7436
538902.02006777,7480793.10108062,444.,Fault_7436
539450.06928267,7481044.61925155,489.,Fault_7436
540092.78881139,7481117.63171911,472.,Fault_7436
540899.98049524,7481030.66038642,463.,Fault_7436
541528.28853057,7480753.66789409,463.,Fault_7436
542003.92130431,7480483.66054976,459.,Fault_7436
542810.1686016,7480186.17231369,467.,Fault_7436
543273.43074471,7479986.68121437,473.,Fault_7436
543539.54005779,7479775.1787106,472.,Fault_7436
543850.09943871,7479563.17715962,472.,Fault_7436
544323.51875315,7479210.68079693,467.,Fault_7436
545000.01970581,7478579.67025788,462.,Fault_7436
560124.94518343,7479717.8142949,638.,Fault_7439
559565.25959079,7480131.81032142,618.,Fault_7439
558961.61841599,7480662.81018675,615.,Fault_7439
558506.94431588,7480932.37139168,589.,Fault_7439
558166.31841564,7481134.30185048,618.,Fault_7439
557462.72921041,7481615.29104849,604.,Fault_7439
555890.97813197,7482756.78063474,575.,Fault_7439
554199.29073696,7484058.27997833,579.,Fault_7439
553299.03057814,7484648.28057288,517.,Fault_7439
552461.86938794,7485130.26124902,514.,Fault_7439
551340.35883734,7485626.33762911,535.,Fault_7439
551180.02149675,7485697.24993663,527.,Fault_7439
549901.13190891,7486170.60512689,567.,Fault_7439
549154.91041516,7486446.74022528,585.,Fault_7439
547917.22212296,7486949.72888485,567.,Fault_7439
546577.26028642,7487345.218131,604.,Fault_7439
544875.02778614,7487774.69125752,614.,Fault_7439
543840.30941933,7488181.17854659,701.,Fault_7439
542571.51239981,7488831.16066893,675.,Fault_7439
541894.31235118,7489210.15968964,636.,Fault_7439
541734.62845792,7489299.55409792,616.,Fault_7439
541239.63983072,7489576.64160983,647.,Fault_7439
539566.53356928,7489954.74309584,585.,Fault_7439
538311.22557001,7490273.62497534,562.,Fault_7439
537771.61272498,7490461.123314,510.,Fault_7439
537397.37114626,7490660.1112043,494.,Fault_7439
537143.23934425,7490712.60994997,526.,Fault_7439
536190.4407037,7490947.09978482,473.,Fault_7439
534321.30492983,7491059.07179509,464.,Fault_7439
533413.07743435,7491318.5675787,500.,Fault_7439
532258.33258664,7491872.06228827,523.,Fault_7439
531616.53103596,7491977.0449986,518.,Fault_7439
530872.61410282,7492013.04908816,502.,Fault_7439
530002.69404395,7492272.54134977,510.,Fault_7439
529240.74798104,7492531.02930639,484.,Fault_7439
528389.75359679,7492771.53282839,483.,Fault_7439
527475.04337437,7492999.02684152,528.,Fault_7439
525375.30636128,7483424.96866113,412.,Fault_2235
524988.58506172,7483694.46525743,413.,Fault_2235
524381.21466631,7484340.47017183,417.,Fault_2235
523577.77848075,7485223.46214201,434.,Fault_2235
523268.12074711,7485625.95127814,460.,Fault_2235
522902.44986615,7486302.46332054,447.,Fault_2235
522587.88125018,7487010.96030626,488.,Fault_2235
522285.26004105,7487566.45121267,501.,Fault_2235
521735.34533654,7488269.45339421,495.,Fault_2235
521415.01591716,7488743.45192373,517.,Fault_2235
521224.2899599,7489118.45021574,507.,Fault_2235
520689.08119362,7490139.43572196,533.,Fault_2235
520260.74457819,7491109.44596029,527.,Fault_2235
519972.78154691,7492053.43901718,520.,Fault_2235
519550.39040752,7492831.92875539,518.,Fault_2235
518943.53730775,7493598.92878699,515.,Fault_2235
518184.84046494,7494525.92007636,519.,Fault_2235
517804.77017997,7494846.41931665,522.,Fault_2235
517393.62924844,7495306.91982853,549.,Fault_2235
517026.31924961,7495626.90764268,540.,Fault_2235
516855.68842699,7495863.41167651,532.,Fault_2235
516444.34235097,7496285.90853327,540.,Fault_2235
515754.79905719,7497040.40949866,576.,Fault_2235
515687.3100586407,7497115.82052052,576.,Fault_2235
522843.71380063,7511577.4211285,568.,Fault_2248
522667.64324426,7511811.67281953,567.,Fault_2248
522459.5291779,7512088.52096737,567.,Fault_2248
522004.11183369,7512606.52023572,585.,Fault_2248
521206.44805255,7513361.99073525,583.,Fault_2248
520542.46265294,7514160.96857664,613.,Fault_2248
519928.68076875,7514807.45946212,612.,Fault_2248
519637.84378016,7515158.94141297,599.,Fault_2248
519480.05589177,7515414.44067142,630.,Fault_2248
519418.4346492,7515485.76366912,630.,Fault_2248
519041.14193347,7515922.43816204,603.,Fault_2248
517993.83077814,7517134.40459377,570.,Fault_2248
515687.3100586407,7499279.464208023,525.,Fault_2843
515891.7593447,7499082.90846197,552.,Fault_2843
515937.86030956,7499043.41833768,552.,Fault_2843
516084.35138976,7498918.92114254,530.,Fault_2843
516132.40196246,7498877.91262598,530.,Fault_2843
516399.80081338,7498690.9206743,558.,Fault_2843
516446.69074214,7498643.43120897,571.,Fault_2843
516885.9020886,7498199.42979174,564.,Fault_2843
516997.11223369,7498099.42919669,564.,Fault_2843
517453.48725954,7497683.89853831,532.,Fault_2843
517473.77941979,7497665.42163345,532.,Fault_2843
517847.87960707,7497213.92048382,520.,Fault_2843
517992.77992138,7496926.42913488,527.,Fault_2843
518383.93146578,7496275.42011283,519.,Fault_2843
518769.29014774,7495725.92848905,517.,Fault_2843
519033.60405131,7495151.43264908,521.,Fault_2843
519611.79503556,7493709.94373975,518.,Fault_2843
519761.54298451,7493104.43897881,533.,Fault_2843
519879.25178686,7492448.44111527,540.,Fault_2843
