,X,Y,Z,formation
0,1000,50,450.0,Shale
1,1000,150,433.33333333333337,Shale
2,1000,300,433.33333333333337,Shale
3,1000,500,466.6666666666667,Shale
4,1000,1000,533.3333333333333,Shale
5,1000,1500,433.33333333333337,Shale
6,1000,1700,400.0,Shale
7,1000,1950,416.66666666666663,Shale
8,0,1000,366.6666666666667,Shale
9,300,1000,333.3333333333333,Shale
10,450,1000,316.6666666666667,Shale
11,1300,1000,500.0,Shale
12,1600,1000,483.3333333333333,Shale
13,1900,1000,500.0,Shale
14,1700,500,466.6666666666667,Shale
15,1700,1500,450.0,Shale
16,1000,50,350.0,Sandstone_1
17,1000,150,333.33333333333337,Sandstone_1
18,1000,300,333.33333333333337,Sandstone_1
19,1000,500,366.66666666666663,Sandstone_1
20,1000,1000,433.33333333333337,Sandstone_1
21,1000,1500,333.33333333333337,Sandstone_1
22,1000,1700,300.0,Sandstone_1
23,1000,1950,316.6666666666667,Sandstone_1
24,0,1000,266.6666666666667,Sandstone_1
25,300,1000,233.33333333333334,Sandstone_1
26,1300,1000,400.0,Sandstone_1
27,1600,1000,383.33333333333337,Sandstone_1
28,1900,1000,400.0,Sandstone_1
29,1700,500,366.66666666666663,Sandstone_1
30,1700,1500,350.0,Sandstone_1
31,1100,150,506.6666666666667,Siltstone
32,1100,300,506.6666666666667,Siltstone
33,1100,1500,506.6666666666667,Siltstone
34,1100,1700,473.3333333333333,Siltstone
35,1100,1950,490.0,Siltstone
36,0,1000,433.3333333333333,Siltstone
37,300,1000,400.0,Siltstone
38,600,1000,366.6666666666667,Siltstone
39,1300,1000,566.6666666666667,Siltstone
40,1600,1000,550.0,Siltstone
41,1900,1000,566.6666666666667,Siltstone
42,1700,500,533.3333333333333,Siltstone
43,1700,1500,516.6666666666667,Siltstone
44,0,1000,500.0,Sandstone_2
45,300,1000,466.6666666666667,Sandstone_2
46,600,1000,433.3333333333333,Sandstone_2
47,1300,1000,633.3333333333333,Sandstone_2
48,1600,1000,616.6666666666667,Sandstone_2
49,1900,1000,633.3333333333333,Sandstone_2
50,1700,500,600.0,Sandstone_2
51,1700,1500,583.3333333333333,Sandstone_2
52,700,1000,300.0,Main_Fault
53,600,1000,200.0,Main_Fault
54,500,1000,100.0,Main_Fault
55,1000,1000,600.0,Main_Fault
56,1100,1000,700.0,Main_Fault
