X,Y,Z,formation
0,100,500,basin_bottom
0,500,500,basin_bottom
0,900,500,basin_bottom
500,100,300,basin_bottom
500,500,300,basin_bottom
500,900,300,basin_bottom
1000,100,100,basin_bottom
1000,500,100,basin_bottom
1000,900,100,basin_bottom
1500,100,300,basin_bottom
1500,500,300,basin_bottom
1500,900,300,basin_bottom
2000,100,500,basin_bottom
2000,500,500,basin_bottom
2000,900,500,basin_bottom
0,100,700,basin_top
0,500,700,basin_top
0,900,700,basin_top
500,100,500,basin_top
500,500,500,basin_top
500,900,500,basin_top
1000,100,300,basin_top
1000,500,300,basin_top
1000,900,300,basin_top
1500,100,500,basin_top
1500,500,500,basin_top
1500,900,500,basin_top
2000,100,700,basin_top
2000,500,700,basin_top
2000,900,700,basin_top
900,100,400,basin_fill_1
900,500,400,basin_fill_1
900,900,400,basin_fill_1
1100,100,400,basin_fill_1
1100,500,400,basin_fill_1
1100,900,400,basin_fill_1
900,100,500,basin_fill_2
900,500,500,basin_fill_2
900,900,500,basin_fill_2
1100,100,500,basin_fill_2
1100,500,500,basin_fill_2
1100,900,500,basin_fill_2



